,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
17574,SABINE COUNTY,403,All Ages,11060,5451,5609,9530,4697,4833,763,381,382,323,150,173,444,223,221
17661,SAN AUGUSTINE COUNTY,405,All Ages,8355,4160,4195,5697,2851,2846,1945,945,1000,129,60,69,584,304,280
17748,SAN JACINTO COUNTY,407,All Ages,27748,13670,14078,20430,9965,10465,2874,1436,1438,696,372,324,3748,1897,1851
17835,SAN PATRICIO COUNTY,409,All Ages,66237,33109,33128,25894,13017,12877,948,518,430,1577,745,832,37818,18829,18989
17922,SAN SABA COUNTY,411,All Ages,6219,3424,2795,3988,2069,1919,195,182,13,87,38,49,1949,1135,814
18009,SCHLEICHER COUNTY,413,All Ages,3172,1589,1583,1711,877,834,27,14,13,17,7,10,1417,691,726
18096,SCURRY COUNTY,415,All Ages,17520,9427,8093,9290,4821,4469,766,564,202,261,128,133,7203,3914,3289
18183,SHACKELFORD COUNTY,417,All Ages,3398,1649,1749,2971,1440,1531,9,4,5,66,26,40,352,179,173
18270,SHELBY COUNTY,419,All Ages,25438,12711,12727,15763,7817,7946,4215,1993,2222,390,184,206,5070,2717,2353
18357,SHERMAN COUNTY,421,All Ages,3171,1630,1541,1673,845,828,10,9,1,42,21,21,1446,755,691
18444,SMITH COUNTY,423,All Ages,224401,109415,114986,129364,62547,66817,39069,18212,20857,8610,4196,4414,47358,24460,22898
18531,SOMERVELL COUNTY,425,All Ages,9000,4411,4589,6687,3274,3413,52,29,23,228,95,133,2033,1013,1020
18618,STARR COUNTY,427,All Ages,64071,31102,32969,2989,1470,1519,13,11,2,179,89,90,60890,29532,31358
18705,STEPHENS COUNTY,429,All Ages,9882,5134,4748,7163,3623,3540,196,134,62,179,104,75,2344,1273,1071
18792,STERLING COUNTY,431,All Ages,1346,682,664,854,425,429,12,11,1,32,17,15,448,229,219
